voltage_rms_V,current_rms_A,frequency_Hz,temperature_C,irradiance_Wm2,harmonic_3rd_pct,harmonic_5th_pct,harmonic_7th_pct,THD_voltage_pct,THD_current_pct,sensor_fault_flag,disturbance_type,disturbance_label,battery_degradation_rate,battery_capacity_loss_pct,economic_cost_BDT
227.31,14.77,49.993,14.11,13.4,2.61,1,0.52,2.85,3.36,0,None,0,0.00498,0.0148,7.47
229.49,14.45,49.995,12.45,59.1,2.55,0.96,0.82,2.84,3.5,0,None,0,0.00342,0.0149,5.13
229.66,15.15,50.008,13.86,0,1.67,0.96,0.79,2.08,1.75,0,None,0,0.00272,0.0149,4.07
229.9,14.25,49.983,14.33,5.4,2.29,1.52,0.41,2.78,2.47,0,None,0,0.00372,0.015,5.58
186.24,14.74,49.913,22.36,0,5.55,2.31,0.66,6.05,5.51,0,Combined_Weather_Electrical,1,0.03893,0.0158,58.4
186.37,15.05,50.036,21.24,0,7.07,2.32,0.94,7.5,9.22,0,Combined_Weather_Electrical,1,0.03775,0.0166,56.62
183.26,14.9,50.054,17.48,18.6,4.51,2.46,0.22,5.14,6.46,0,Combined_Weather_Electrical,1,0.03831,0.0173,57.47
230.02,15.01,49.982,13.65,93,2.23,0.48,0.56,2.35,2.78,0,None,0,0.00328,0.0174,4.92
226.66,14.35,49.968,14.78,0,1.82,0.86,0.67,2.12,2.55,0,None,0,0.00591,0.0175,8.86
231.1,14.28,49.996,14.32,20.2,3.25,0.7,0.6,3.38,3.28,0,None,0,0.0043,0.0176,6.45
184.49,14.81,49.994,13.63,0,1.46,1.09,0.81,2,2,0,Voltage_Sag,1,0.03196,0.0182,47.93
182.56,15.08,50.03,14.47,0,2.58,1.47,0.23,2.98,2.8,0,Voltage_Sag,1,0.03541,0.0189,53.12
184.18,14.48,50.002,14.14,0,1.38,1.42,0.35,2.01,2.57,0,Voltage_Sag,1,0.03198,0.0196,47.97
184.47,14.3,49.976,14.84,0,2.3,1.7,0.77,2.97,3.45,0,Voltage_Sag,1,0.03384,0.0203,50.77
186.6,13.84,49.96,13.51,0,2.35,1.61,0.17,2.85,2.77,0,Voltage_Sag,1,0.03313,0.0209,49.7
185.4,14.57,50.026,13.81,26.9,2.03,0.99,0.8,2.4,2.08,0,Voltage_Sag,1,0.03278,0.0216,49.18
185.58,14.55,50.018,13.76,0,1.7,1.21,0.71,2.21,1.98,0,Voltage_Sag,1,0.03208,0.0222,48.11
186.59,15.03,50.032,12.91,0,2.08,1.19,0.79,2.52,2.28,0,Voltage_Sag,1,0.03243,0.0229,48.64
185.05,14.96,49.971,14.32,14,2.16,0.34,0.48,2.24,2.48,0,Voltage_Sag,1,0.03301,0.0235,49.51
186.07,14.71,50.055,14.3,0,3.07,0.71,0.73,3.24,4.05,0,Voltage_Sag,1,0.03464,0.0242,51.97
185.99,14.48,49.948,14.1,0,1.48,1.13,0.31,1.89,2.33,0,Voltage_Sag,1,0.0332,0.0249,49.81
228.07,14.42,50.021,13.91,0,1.67,1.13,0.5,2.07,1.73,0,None,0,0.0044,0.025,6.6
232.21,15.13,49.943,12.97,41.2,2.17,1.4,0.61,2.66,3.07,0,None,0,0.00696,0.0251,10.44
227.87,14.73,49.976,13.77,20.1,1.85,1.39,0.38,2.34,2.07,0,None,0,0.00491,0.0252,7.37
231.38,14,50.047,13.84,9.9,1.94,0.49,0.65,2.11,2.01,0,None,0,0.00534,0.0253,8.02
227.72,14.37,50.025,13.48,0,2.64,1.41,0.31,3.01,3.23,0,None,0,0.00574,0.0254,8.61
230.9,14.41,49.984,13.99,16,0.31,1.27,0.67,1.47,1.79,0,None,0,0.00288,0.0255,4.31
232.79,14.49,49.984,14.45,8.1,1.64,1.45,1.04,2.42,2.22,0,None,0,0.00502,0.0256,7.53
229.68,14.85,50.003,15.64,0,0.95,1.63,0.29,1.91,2.36,0,None,0,0.00227,0.0256,3.4
229.62,14.58,50.015,14.28,0,1.28,1.14,0.59,1.82,2.12,0,None,0,0.00284,0.0257,4.26
230.92,14.59,50.038,14.35,0,3.44,1.7,0.2,3.84,4.37,0,None,0,0.00632,0.0258,9.48
229.51,15,49.986,14.09,0,2.36,0.84,0.39,2.54,2.2,0,None,0,0.00354,0.0259,5.31
232.73,14.32,49.952,12.62,0,2.57,0.82,0.78,2.81,2.91,0,None,0,0.007,0.026,10.51
230.29,15.57,50.005,14.14,101.6,1.95,1.37,0.49,2.44,2.28,0,None,0,0.00286,0.0261,4.29
229.52,14.41,49.986,14.22,0,2.46,1.05,0.79,2.78,3.05,0,None,0,0.00378,0.0262,5.68
229.19,14.73,49.961,16.15,0,0.94,1.3,0.69,1.75,1.99,0,None,0,0.00423,0.0262,6.34
228.6,14.52,50.009,14.03,0,2.62,2,0.58,3.35,2.79,0,None,0,0.00471,0.0263,7.06
229.06,14.74,49.994,14.43,20.8,1.51,1.36,0.34,2.06,2.31,0,None,0,0.00299,0.0264,4.49
229.47,15.01,50.009,14.17,66.9,1.68,1.28,0.77,2.25,2.36,0,None,0,0.00306,0.0265,4.58
229.27,14.69,49.973,13.27,0,2.3,0.85,0.68,2.55,3.11,0,None,0,0.00437,0.0265,6.55
229.01,14.43,50.015,15.13,0,2.19,0.52,0.22,2.26,2.71,0,None,0,0.00364,0.0266,5.45
233.15,14.43,49.96,14.82,32.7,2.05,1.17,0.36,2.39,2.4,0,None,0,0.00642,0.0267,9.63
228.45,15.39,49.975,14.86,0,1.18,1.63,0.09,2.01,2.59,0,None,0,0.00426,0.0268,6.39
230.22,14.43,49.993,13.51,0,2.06,1.07,0.26,2.34,2.55,0,None,0,0.00284,0.0269,4.27
230.89,14.88,50.052,15.37,0,2.58,1.36,0.52,2.96,3.79,0,None,0,0.00615,0.027,9.23
230.95,14.07,50.024,13.13,0,1.68,1.77,0.34,2.46,2.86,0,None,0,0.00426,0.0271,6.39
229.91,14.66,50.032,14.73,27.6,2.79,1.76,0.39,3.32,3.33,0,None,0,0.00499,0.0272,7.49
229.64,14.66,50.043,16.02,0,1.48,1.37,0.95,2.23,2.04,0,None,0,0.00459,0.0273,6.88
230.68,14.72,50.108,13.48,0,2,1.27,0.86,2.52,2.6,0,None,0,0.00837,0.0275,12.55
230.4,13.77,50.001,13.83,0,2.92,0.59,0.43,3.01,3.82,0,None,0,0.00333,0.0275,5
229.61,14.69,50.043,14.37,6,1.59,0.95,0.8,2.02,1.74,0,None,0,0.0044,0.0276,6.6
227.66,14.25,50.03,13.9,0,2.63,1.09,0.9,2.99,3.08,0,None,0,0.00604,0.0277,9.05
229.3,14.72,50.03,13.07,17.4,3.18,0.86,0.75,3.38,3.29,0,None,0,0.00534,0.0278,8
228.28,14.44,50.053,14.38,33.8,2.1,1.3,0.67,2.56,3.16,0,None,0,0.00635,0.028,9.52
229,14.38,49.987,13.48,15.7,1.68,1.96,0.87,2.73,3.28,0,None,0,0.00401,0.028,6.02
230.05,14.63,49.985,14.72,18.1,1.54,1.81,0.79,2.5,2.69,0,None,0,0.00328,0.0281,4.92
230.54,14.26,50.01,13.61,0,2.78,1.3,0.3,3.08,3.11,0,None,0,0.00392,0.0282,5.87
232.67,14.54,49.995,15.6,0,2.77,1.51,0.55,3.2,3.66,0,None,0,0.00522,0.0283,7.82
229.19,14.31,50.01,13.74,19.2,2.87,0.91,0.46,3.05,3.89,0,None,0,0.00405,0.0284,6.07
231.16,14.17,50.047,14.12,29.2,1.98,1.79,0.89,2.81,2.39,0,None,0,0.00591,0.0285,8.87
230.46,14.96,49.986,15.04,0,2.62,0.58,0.45,2.72,3.4,0,None,0,0.00374,0.0286,5.61
231.94,14.18,49.991,13.42,0,1.97,1.57,0.41,2.55,2.42,0,None,0,0.00427,0.0287,6.41
230.86,14.58,50.005,14.59,0,1.47,1.4,0.86,2.2,1.77,0,None,0,0.00303,0.0287,4.54
228.49,14.99,49.993,15.47,21.5,2.67,0.9,0.66,2.9,3.39,0,None,0,0.00423,0.0288,6.34
227.42,14.54,49.943,13.15,41.4,2.98,1.12,1.13,3.38,4.03,0,None,0,0.00793,0.029,11.9
230.47,14.38,49.983,14.59,0,1.39,0.75,0.38,1.62,1.54,0,None,0,0.0028,0.029,4.19
229.21,14.85,50.021,14.66,36.3,1.38,0.76,0.47,1.64,1.95,0,None,0,0.00319,0.0291,4.79
228.53,14.99,50.043,15.09,0,2.02,0.56,0.88,2.28,2.73,0,None,0,0.00539,0.0292,8.09
228.1,14.22,49.965,13.49,0,2.57,1.51,0.28,3,3.41,0,None,0,0.00597,0.0293,8.95
230.24,14.53,49.965,13.43,0,1.32,1.68,0.93,2.33,1.91,0,None,0,0.00423,0.0294,6.34
232.26,14.25,50.001,14.92,29.9,2.14,0.34,0.3,2.18,2.47,0,None,0,0.0037,0.0295,5.55
229.39,14.57,49.938,14.75,13,1.65,1.94,0.75,2.65,3.35,0,None,0,0.00616,0.0296,9.24
230.89,15.01,49.987,14.72,91,2.42,1.2,0.14,2.7,3,0,None,0,0.00395,0.0297,5.92
229.85,14.38,49.948,14.81,0,1.52,1.32,0.61,2.1,2.07,0,None,0,0.00481,0.0298,7.21
228.07,14.55,50.041,14,20.7,2.46,0.61,0.26,2.55,2.76,0,None,0,0.00587,0.0299,8.8
167.91,14.21,49.977,14.75,0,1.91,1.73,1.08,2.79,3.62,0,Voltage_Sag,1,0.04444,0.0308,66.65
165.92,14.66,50.05,14.81,0,1.44,1.28,0.33,1.95,2.02,0,Voltage_Sag,1,0.04622,0.0317,69.34
167.14,14.92,50.033,14.02,0,2.04,1.66,0.39,2.66,3.24,0,Voltage_Sag,1,0.04532,0.0326,67.98
166.74,14.4,49.981,16.09,1.4,0.84,1.69,0.73,2.02,1.76,0,Voltage_Sag,1,0.04425,0.0335,66.37
168.09,14.93,49.968,14.99,29.6,1.66,1.73,0.45,2.45,2.03,0,Voltage_Sag,1,0.04443,0.0344,66.65
228.41,14.73,49.994,13.67,0,2.2,0.94,0.77,2.52,2.5,0,None,0,0.00384,0.0344,5.76
230.59,15.02,49.997,15.16,0,0.94,1.12,0.42,1.52,1.32,0,None,0,0.00206,0.0345,3.09
228.74,14.19,50.01,13.87,10.9,0.46,0.96,0.4,1.13,1.09,0,None,0,0.00247,0.0345,3.71
229.23,14.61,49.977,15.3,0,0.6,1.56,0.59,1.77,2.05,0,None,0,0.00344,0.0346,5.15
224.55,14.77,50.022,15.61,0,2.8,1.33,0.3,3.11,3.18,0,None,0,0.00779,0.0348,11.68
233.14,14.57,50.008,14.04,0,1.95,1.63,0.7,2.64,2.53,0,None,0,0.00508,0.0349,7.62
230.83,14.06,49.99,15.48,31.8,1.68,1.65,0.82,2.49,3.1,0,None,0,0.00354,0.0349,5.31
228.85,14.96,49.979,15.05,38.9,2.57,0.51,0.74,2.72,2.19,0,None,0,0.00454,0.035,6.81
228.31,15.13,49.994,15.39,0,1.76,1.74,0.76,2.59,3.12,0,None,0,0.00397,0.0351,5.95
229.26,14.75,49.975,16.27,0,2.16,1.58,0.12,2.68,2.98,0,None,0,0.00439,0.0352,6.59
231.08,14.32,50.002,14.57,0,2.02,1.05,0.48,2.32,1.91,0,None,0,0.00311,0.0353,4.67
227.16,14.45,50.003,14.18,0,1.72,1.34,0.54,2.24,1.83,0,None,0,0.00422,0.0353,6.34
229.79,15.18,50.008,14.08,12.4,2.18,1.15,0.96,2.64,2.34,0,None,0,0.00317,0.0354,4.76
232.66,14.88,50.053,14.16,0,2.46,1.45,0.45,2.89,3.73,0,None,0,0.00727,0.0355,10.91
228.3,14.83,49.996,14.76,0,1.89,1.05,0.02,2.16,1.82,0,None,0,0.00347,0.0356,5.21
230.12,14.76,50.03,15.11,0,1.72,1.39,0.35,2.24,2.62,0,None,0,0.00383,0.0357,5.74
233.3,14.54,50.007,15.08,22,1.79,1.23,0.43,2.22,2.22,0,None,0,0.00472,0.0358,7.07
230.95,14.9,49.993,15.53,72.1,0.62,1.03,0.06,1.2,1.1,0,None,0,0.00218,0.0358,3.27
230.19,14.62,49.996,14.9,0,2.17,1.28,0.84,2.65,2.89,0,None,0,0.00296,0.0359,4.43
230.76,14.87,49.998,16.07,0,1.27,2.28,0.21,2.62,2.58,0,None,0,0.00321,0.036,4.81
229.4,15.09,50.008,14.71,0,2.38,0.93,0.71,2.65,2.53,0,None,0,0.00346,0.036,5.19
231.95,15.09,49.971,17.11,0,1.95,1.1,0.33,2.26,2.08,0,None,0,0.00497,0.0361,7.45
229.4,14.28,49.956,15.45,8.7,2.06,0.93,0.98,2.47,2.54,0,None,0,0.00505,0.0362,7.58
227.06,14.68,50.02,14.28,0,2.42,0.97,0.53,2.66,2.36,0,None,0,0.00556,0.0363,8.34
229.41,14.83,50.027,14.13,0,1.44,1.53,0.48,2.16,2.64,0,None,0,0.00389,0.0364,5.83
228.55,18.02,50.022,15.39,14.7,9.94,5.8,1.92,11.67,12.78,0,Harmonic_Distortion,1,0.01373,0.0367,20.59
229.58,17.66,50.005,14.84,41.6,7.4,4.51,1.55,8.81,7.32,0,Harmonic_Distortion,1,0.00931,0.0369,13.97
229.61,18.79,50.023,15.6,0,7.73,6.18,3.09,10.37,10.66,0,Harmonic_Distortion,1,0.01177,0.0371,17.66
231.8,17.26,50.021,15.43,0,6.34,3.67,2.29,7.67,8.55,0,Harmonic_Distortion,1,0.00991,0.0373,14.87
231.04,17.35,50.024,15.01,8.6,8.13,4.5,1.8,9.47,11.65,0,Harmonic_Distortion,1,0.01133,0.0375,16.99
230.39,17.75,49.974,14.41,0,10.73,3.16,2.05,11.37,9.23,0,Harmonic_Distortion,1,0.01292,0.0378,19.38
230,18.73,49.967,13.89,69.2,7.25,4.45,2.77,8.95,9.2,0,Harmonic_Distortion,1,0.0106,0.038,15.9
228.41,17.38,49.988,14.76,0,5.51,4.8,1.66,7.49,8.63,0,Harmonic_Distortion,1,0.00911,0.0382,13.66
240.05,31.25,49.999,15.82,0,8.36,5.18,2.7,10.2,9.16,1,Harmonic_Distortion,1,0.01678,0.0385,25.18
230.17,15.08,49.993,15.33,22.2,1.96,1.01,0.02,2.21,2.01,0,None,0,0.00268,0.0386,4.03
231.19,14.6,49.944,14.18,0,2.41,1.5,0.87,2.97,3.1,0,None,0,0.00656,0.0387,9.85
229.84,14.57,50.052,15.33,0,1.05,1.34,0.8,1.88,2.34,0,None,0,0.00457,0.0388,6.86
229.2,14.85,49.992,15.52,0,1.66,1.11,0.14,2,2,0,None,0,0.00293,0.0389,4.4
230.7,14.87,50.005,14.52,41.2,1.76,0.71,0.1,1.9,1.98,0,None,0,0.00261,0.0389,3.92
229.88,14.98,50.037,15.37,0,1.95,1.63,0.81,2.67,2.98,0,None,0,0.00461,0.039,6.92
232.53,15.05,49.93,15.31,0,1.22,1.44,0.79,2.05,1.96,0,None,0,0.00721,0.0391,10.82
231.85,14.86,49.985,14.37,37,1.87,1.3,0.76,2.4,2.96,0,None,0,0.00437,0.0392,6.56
231.44,14.77,49.988,15.59,0,1.81,0.14,0.24,1.84,2.35,0,None,0,0.00335,0.0393,5.03
231.14,14.75,49.99,15.77,0,1.38,1.18,1.06,2.1,2.37,0,None,0,0.00335,0.0394,5.02
228.06,14.88,49.995,16.21,6,1.93,1.1,0.41,2.26,2.53,0,None,0,0.00378,0.0394,5.67
230.99,14.85,50.043,16.2,30.8,1.68,0.95,0.66,2.04,2.32,0,None,0,0.00486,0.0395,7.28
230.56,14.99,50.02,14.28,95.3,2.3,1.5,0.66,2.82,2.53,0,None,0,0.0042,0.0396,6.3
230.91,15.12,50.029,14.65,33.1,1.47,1.49,1,2.32,2.7,0,None,0,0.00435,0.0397,6.52
230.74,15.33,50.001,15.83,46.4,2.05,1.37,0.63,2.55,2.48,0,None,0,0.0031,0.0398,4.66
230.68,14.24,49.958,15.85,0,1.51,1.62,0.7,2.32,3.01,0,None,0,0.00487,0.0399,7.3
234.05,14.7,49.938,15.87,0,1.64,0.79,0.58,1.91,2.25,0,None,0,0.00767,0.04,11.51
301.93,19.82,49.954,18.56,0,2.18,1.02,0.3,2.42,2.65,1,None,0,0.05163,0.0411,77.44
248.81,16.56,50.011,15.96,0,2.14,1.23,0.02,2.47,3.1,1,None,0,0.01528,0.0414,22.91
229.29,14.84,50.001,16.43,0,1.75,0.95,0.61,2.08,2.68,0,None,0,0.00259,0.0414,3.89
231.19,14.92,49.994,16.3,0,1.84,1.49,0.25,2.38,2.88,0,None,0,0.00347,0.0415,5.2
231.41,14.73,49.989,16.08,16,1.13,0.99,0.69,1.65,1.95,0,None,0,0.00312,0.0415,4.68
230.55,14.15,50.06,15.33,14.4,2.84,1.72,0.64,3.38,2.81,0,None,0,0.00676,0.0417,10.13
232.5,14.5,49.975,16.21,20.2,2.41,0.83,0.63,2.63,3.03,0,None,0,0.00549,0.0418,8.24
228.67,14.97,50.028,15,11.6,2.39,2.05,0.34,3.17,3.07,0,None,0,0.00543,0.0419,8.14
229.27,13.85,50,15.45,0,1.04,2.01,0.86,2.42,3.07,0,None,0,0.0029,0.042,4.35
230.32,15.02,49.998,15.28,0,1.64,1.16,0.72,2.14,2.36,0,None,0,0.00244,0.042,3.65
231.32,14.84,50.035,15.75,0,1.8,1.66,0.3,2.47,2.43,0,None,0,0.00509,0.0421,7.64
230.27,15.46,50.044,17.56,71.4,0.84,1.04,1.12,1.74,1.69,0,None,0,0.00411,0.0422,6.17
231.93,14.55,49.993,14.23,0,2.53,1.61,0.55,3.05,3.29,0,None,0,0.00467,0.0423,7
229.01,14.1,50.024,16.3,0,2.87,1.13,0.27,3.1,3.24,0,None,0,0.00494,0.0424,7.42
228.29,14.75,50.011,14.48,0,3.24,0.69,0.41,3.33,3.32,0,None,0,0.005,0.0425,7.49
230.46,15.52,50,15.42,117.4,1.37,0.21,0.22,1.41,1.27,0,None,0,0.00172,0.0425,2.58
229.88,15.01,50.006,16.69,0,2.07,1.09,0.94,2.52,3.02,0,None,0,0.0029,0.0426,4.36
230.81,14.5,49.979,15.89,0,2.79,1.31,0.87,3.21,3.26,0,None,0,0.00477,0.0427,7.15
229.96,14.74,49.991,15,16.6,1.85,1.73,0.78,2.65,2.25,0,None,0,0.00314,0.0427,4.71
229.49,14.6,49.983,15.31,24,1.66,1.21,0.74,2.19,1.84,0,None,0,0.00339,0.0428,5.08
